Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1994,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,15188.0
1996,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,12856.0
1980,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,2503.0
1982,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,2836.0
1984,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,2481.0
1986,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,3457.0
1988,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,4140.0
1990,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,4393.0
1992,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,5277.0
1994,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,5084.0
1996,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,4597.0
1980,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,2258.0
1982,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,2444.0
1984,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,2370.0
1986,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,3208.0
1988,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,3645.0
1990,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,4261.0
1992,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,5937.0
1994,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,6275.0
1996,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,5822.0
1980,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,36510.0
1982,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,31507.0
1984,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,30165.0
1986,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,41415.0
1988,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,53813.0
1990,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,55504.0
1992,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,73814.0
1994,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,78811.0
1996,Person-trips,Canada,Same day,"All ages (x 1,000)",v130940,1.1.2.1,65939.0
1980,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,7098.0
1982,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,5413.0
1984,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,5241.0
1986,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,6723.0
1988,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,10287.0
1990,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,9666.0
1992,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,10102.0
1994,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,12003.0
1996,Person-trips,Canada,Same day,"Under 15 years (x 1,000)",v130943,1.1.2.2,9609.0
1980,Person-trips,Canada,Same day,"15-19 years (x 1,000)",v130946,1.1.2.3,2550.0
